"countries",num
"albania",1
"algeria",1
"antarctica",1
"australia",1
"austria",1
"belgium",1
"bengladesh",1
"bhutan",1
"bosnia-herzegovina",1
"brazil",1
"bulgaria",1
"burma",1
"cambodia",1
"canada",1
"chile",1
"china",1
"columbia",1
"croatia",1
"denmark",1
"ecuador",1
"egypt",1
"england",1
"estonia",1
"eu member states",1
"europe",1
"finland",1
"france",1
"french polynesia",1
"georgia",1
"germany",1
"greece",1
"greenland",1
"hong kong",1
"iceland",1
"india",1
"ireland",1
"irsael",1
"israel",1
"italy",1
"kenya",1
"laos",1
"latvia",1
"lebanon",1
"libya",1
"liechtenstein",1
"lithuania",1
"mexico",1
"montenegro",1
"morocco",1
"mozambique",1
"myenmar",1
"netherlands",1
"new zealand",1
"norway",1
"pakistan",1
"papua new guinea",1
"paraguay",1
"poland",1
"portugal",1
"romania",1
"russia",1
"scotland",1
"slovenia",1
"somalia",1
"south africa",1
"south korea",1
"spain",1
"sweden",1
"switzerland",1
"syria",1
"tenzania",1
"thailand",1
"the bahamas",1
"tunisia",1
"turkey",1
"uk",1
"ukraine",1
"usa",1
"vietnam",1
